Planet Rotation;Sun Position;Sun Ray Direction;Stick 1 Position;Stick 1 Shadow Hit;Stick 1 Height;Ray 1 Start Position;Stick 2 Position;Stick 2 Shadow Hit;Stick 2 Height;Ray 2 Start Position;Stick 3 Position;Stick 3 Shadow Hit;Stick 3 Height;Ray 3 Start Position;Type of Planet Model
(0.0, 0.0, 0.0);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 225.8, -76.7);(-74.6, 227.4, -72.2);(-74.9, 230.3, -76.7);(-79.3, 235.2, -87.6);(-90.2, 225.8, -58.0);(-90.0, 227.2, -52.7);(-90.2, 230.3, -58.0);(-94.9, 235.4, -68.9);(-88.2, 204.5, -113.4);(-88.3, 206.1, -110.4);(-88.2, 208.6, -113.4);(-92.6, 213.2, -124.3);Round Planet Model
(0.0, 0.0, 0.0);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 225.8, -76.7);(-74.6, 227.4, -72.2);(-74.9, 230.3, -76.7);(-79.3, 235.2, -87.6);(-90.2, 225.8, -58.0);(-90.0, 227.2, -52.7);(-90.2, 230.3, -58.0);(-94.9, 235.4, -68.9);(-88.2, 204.5, -113.4);(-88.3, 206.1, -110.4);(-88.2, 208.6, -113.4);(-92.6, 213.2, -124.3);Round Planet Model
(0.0, 0.0, 0.0);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 225.8, -76.7);(-74.6, 227.4, -72.2);(-74.9, 230.3, -76.7);(-79.3, 235.2, -87.6);(-90.2, 225.8, -58.0);(-90.0, 227.2, -52.7);(-90.2, 230.3, -58.0);(-94.9, 235.4, -68.9);(-88.2, 204.5, -113.4);(-88.3, 206.1, -110.4);(-88.2, 208.6, -113.4);(-92.6, 213.2, -124.3);Round Planet Model
(339.0, 358.0, 25.3);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 225.8, -76.7);(-75.3, 227.3, -72.7);(-74.9, 230.0, -76.7);(-79.8, 234.8, -87.6);(-90.2, 225.8, -58.0);(-90.5, 227.3, -53.9);(-90.2, 230.0, -58.0);(-95.1, 234.8, -68.9);(-88.2, 204.5, -113.4);(-88.5, 206.0, -109.4);(-88.2, 208.8, -113.4);(-93.1, 213.6, -124.3);Flat Earth Model
(339.0, 358.0, 25.3);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 225.8, -76.7);(-75.3, 227.3, -72.7);(-74.9, 230.0, -76.7);(-79.8, 234.8, -87.6);(-90.2, 225.8, -58.0);(-90.5, 227.3, -53.9);(-90.2, 230.0, -58.0);(-95.1, 234.8, -68.9);(-88.2, 204.5, -113.4);(-88.5, 206.0, -109.4);(-88.2, 208.8, -113.4);(-93.1, 213.6, -124.3);Flat Earth Model
(339.0, 358.0, 25.3);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 225.8, -76.7);(-75.3, 227.3, -72.7);(-74.9, 230.0, -76.7);(-79.8, 234.8, -87.6);(-90.2, 225.8, -58.0);(-90.5, 227.3, -53.9);(-90.2, 230.0, -58.0);(-95.1, 234.8, -68.9);(-88.2, 204.5, -113.4);(-88.5, 206.0, -109.4);(-88.2, 208.8, -113.4);(-93.1, 213.6, -124.3);Flat Earth Model
(339.0, 358.0, 25.3);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 225.8, -76.7);(-75.3, 227.3, -72.7);(-74.9, 230.0, -76.7);(-79.8, 234.8, -87.6);(-90.2, 225.8, -58.0);(-90.5, 227.3, -53.9);(-90.2, 230.0, -58.0);(-95.1, 234.8, -68.9);(-88.2, 204.5, -113.4);(-88.5, 206.0, -109.4);(-88.2, 208.8, -113.4);(-93.1, 213.6, -124.3);Flat Earth Model
(339.0, 358.0, 25.3);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 225.8, -76.7);(-75.3, 227.3, -72.7);(-74.9, 230.0, -76.7);(-79.8, 234.8, -87.6);(-90.2, 225.8, -58.0);(-90.5, 227.3, -53.9);(-90.2, 230.0, -58.0);(-95.1, 234.8, -68.9);(-88.2, 204.5, -113.4);(-88.5, 206.0, -109.4);(-88.2, 208.8, -113.4);(-93.1, 213.6, -124.3);Flat Earth Model
(339.0, 358.0, 25.3);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 225.8, -76.7);(-75.3, 227.3, -72.7);(-74.9, 230.0, -76.7);(-79.8, 234.8, -87.6);(-90.2, 225.8, -58.0);(-90.5, 227.3, -53.9);(-90.2, 230.0, -58.0);(-95.1, 234.8, -68.9);(-88.2, 204.5, -113.4);(-88.5, 206.0, -109.4);(-88.2, 208.8, -113.4);(-93.1, 213.6, -124.3);Flat Earth Model
(339.0, 358.0, 25.3);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 225.8, -76.7);(-75.3, 227.3, -72.7);(-74.9, 230.0, -76.7);(-79.8, 234.8, -87.6);(-90.2, 225.8, -58.0);(-90.5, 227.3, -53.9);(-90.2, 230.0, -58.0);(-95.1, 234.8, -68.9);(-88.2, 204.5, -113.4);(-88.5, 206.0, -109.4);(-88.2, 208.8, -113.4);(-93.1, 213.6, -124.3);Flat Earth Model
(339.0, 358.0, 25.3);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 225.8, -76.7);(-75.3, 227.3, -72.7);(-74.9, 230.0, -76.7);(-79.8, 234.8, -87.6);(-90.2, 225.8, -58.0);(-90.5, 227.3, -53.9);(-90.2, 230.0, -58.0);(-95.1, 234.8, -68.9);(-88.2, 204.5, -113.4);(-88.5, 206.0, -109.4);(-88.2, 208.8, -113.4);(-93.1, 213.6, -124.3);Flat Earth Model
(339.0, 358.0, 25.3);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 225.8, -76.7);(-75.3, 227.3, -72.7);(-74.9, 230.0, -76.7);(-79.8, 234.8, -87.6);(-90.2, 225.8, -58.0);(-90.5, 227.3, -53.9);(-90.2, 230.0, -58.0);(-95.1, 234.8, -68.9);(-88.2, 204.5, -113.4);(-88.5, 206.0, -109.4);(-88.2, 208.8, -113.4);(-93.1, 213.6, -124.3);Flat Earth Model
(339.0, 358.0, 25.3);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 225.8, -76.7);(-75.3, 227.3, -72.7);(-74.9, 230.0, -76.7);(-79.8, 234.8, -87.6);(-90.2, 225.8, -58.0);(-90.5, 227.3, -53.9);(-90.2, 230.0, -58.0);(-95.1, 234.8, -68.9);(-88.2, 204.5, -113.4);(-88.5, 206.0, -109.4);(-88.2, 208.8, -113.4);(-93.1, 213.6, -124.3);Flat Earth Model
(339.0, 358.0, 25.3);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 225.8, -76.7);(-75.3, 227.3, -72.7);(-74.9, 230.0, -76.7);(-79.8, 234.8, -87.6);(-90.2, 225.8, -58.0);(-90.5, 227.3, -53.9);(-90.2, 230.0, -58.0);(-95.1, 234.8, -68.9);(-88.2, 204.5, -113.4);(-88.5, 206.0, -109.4);(-88.2, 208.8, -113.4);(-93.1, 213.6, -124.3);Flat Earth Model
(339.0, 358.0, 25.3);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 225.8, -76.7);(-75.3, 227.3, -72.7);(-74.9, 230.0, -76.7);(-79.8, 234.8, -87.6);(-90.2, 225.8, -58.0);(-90.5, 227.3, -53.9);(-90.2, 230.0, -58.0);(-95.1, 234.8, -68.9);(-88.2, 204.5, -113.4);(-88.5, 206.0, -109.4);(-88.2, 208.8, -113.4);(-93.1, 213.6, -124.3);Flat Earth Model
(339.0, 358.0, 25.3);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 225.8, -76.7);(-75.3, 227.3, -72.7);(-74.9, 230.0, -76.7);(-79.8, 234.8, -87.6);(-90.2, 225.8, -58.0);(-90.5, 227.3, -53.9);(-90.2, 230.0, -58.0);(-95.1, 234.8, -68.9);(-88.2, 204.5, -113.4);(-88.5, 206.0, -109.4);(-88.2, 208.8, -113.4);(-93.1, 213.6, -124.3);Flat Earth Model
(353.7, 0.0, 0.0);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 216.1, -100.9);(-74.8, 217.7, -97.5);(-74.9, 220.4, -100.9);(-79.2, 225.0, -111.8);(-90.2, 218.1, -82.3);(-90.3, 219.6, -78.1);(-90.2, 222.4, -82.3);(-94.9, 227.3, -93.2);(-88.2, 190.9, -135.1);(-88.4, 192.5, -132.8);(-88.2, 194.8, -135.1);(-92.4, 199.2, -146.0);Round Planet Model
(353.7, 0.0, 0.0);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 216.1, -100.9);(-74.8, 217.7, -97.5);(-74.9, 220.4, -100.9);(-79.2, 225.0, -111.8);(-90.2, 218.1, -82.3);(-90.3, 219.6, -78.1);(-90.2, 222.4, -82.3);(-94.9, 227.3, -93.2);(-88.2, 190.9, -135.1);(-88.4, 192.5, -132.8);(-88.2, 194.8, -135.1);(-92.4, 199.2, -146.0);Round Planet Model
(353.7, 0.0, 0.0);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 216.1, -100.9);(-74.8, 217.7, -97.5);(-74.9, 220.4, -100.9);(-79.2, 225.0, -111.8);(-90.2, 218.1, -82.3);(-90.3, 219.6, -78.1);(-90.2, 222.4, -82.3);(-94.9, 227.3, -93.2);(-88.2, 190.9, -135.1);(-88.4, 192.5, -132.8);(-88.2, 194.8, -135.1);(-92.4, 199.2, -146.0);Round Planet Model
(353.7, 0.0, 0.0);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 216.1, -100.9);(-74.8, 217.7, -97.5);(-74.9, 220.4, -100.9);(-79.2, 225.0, -111.8);(-90.2, 218.1, -82.3);(-90.3, 219.6, -78.1);(-90.2, 222.4, -82.3);(-94.9, 227.3, -93.2);(-88.2, 190.9, -135.1);(-88.4, 192.5, -132.8);(-88.2, 194.8, -135.1);(-92.4, 199.2, -146.0);Round Planet Model
(353.7, 0.0, 0.0);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 216.1, -100.9);(-74.8, 217.7, -97.5);(-74.9, 220.4, -100.9);(-79.2, 225.0, -111.8);(-90.2, 218.1, -82.3);(-90.3, 219.6, -78.1);(-90.2, 222.4, -82.3);(-94.9, 227.3, -93.2);(-88.2, 190.9, -135.1);(-88.4, 192.5, -132.8);(-88.2, 194.8, -135.1);(-92.4, 199.2, -146.0);Round Planet Model
(353.7, 0.0, 0.0);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 216.1, -100.9);(-74.8, 217.7, -97.5);(-74.9, 220.4, -100.9);(-79.2, 225.0, -111.8);(-90.2, 218.1, -82.3);(-90.3, 219.6, -78.1);(-90.2, 222.4, -82.3);(-94.9, 227.3, -93.2);(-88.2, 190.9, -135.1);(-88.4, 192.5, -132.8);(-88.2, 194.8, -135.1);(-92.4, 199.2, -146.0);Round Planet Model
(353.7, 0.0, 0.0);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 216.1, -100.9);(-74.8, 217.7, -97.5);(-74.9, 220.4, -100.9);(-79.2, 225.0, -111.8);(-90.2, 218.1, -82.3);(-90.3, 219.6, -78.1);(-90.2, 222.4, -82.3);(-94.9, 227.3, -93.2);(-88.2, 190.9, -135.1);(-88.4, 192.5, -132.8);(-88.2, 194.8, -135.1);(-92.4, 199.2, -146.0);Round Planet Model
(353.7, 0.0, 0.0);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 216.1, -100.9);(-74.8, 217.7, -97.5);(-74.9, 220.4, -100.9);(-79.2, 225.0, -111.8);(-90.2, 218.1, -82.3);(-90.3, 219.6, -78.1);(-90.2, 222.4, -82.3);(-94.9, 227.3, -93.2);(-88.2, 190.9, -135.1);(-88.4, 192.5, -132.8);(-88.2, 194.8, -135.1);(-92.4, 199.2, -146.0);Round Planet Model
(353.7, 0.0, 0.0);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 216.1, -100.9);(-74.8, 217.7, -97.5);(-74.9, 220.4, -100.9);(-79.2, 225.0, -111.8);(-90.2, 218.1, -82.3);(-90.3, 219.6, -78.1);(-90.2, 222.4, -82.3);(-94.9, 227.3, -93.2);(-88.2, 190.9, -135.1);(-88.4, 192.5, -132.8);(-88.2, 194.8, -135.1);(-92.4, 199.2, -146.0);Round Planet Model
(353.7, 0.0, 0.0);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 216.1, -100.9);(-74.8, 217.7, -97.5);(-74.9, 220.4, -100.9);(-79.2, 225.0, -111.8);(-90.2, 218.1, -82.3);(-90.3, 219.6, -78.1);(-90.2, 222.4, -82.3);(-94.9, 227.3, -93.2);(-88.2, 190.9, -135.1);(-88.4, 192.5, -132.8);(-88.2, 194.8, -135.1);(-92.4, 199.2, -146.0);Round Planet Model
(353.7, 0.0, 0.0);(0.0, 260.3, -14.2);(0.3, -0.4, 0.9);(-74.9, 216.1, -100.9);(-74.8, 217.7, -97.5);(-74.9, 220.4, -100.9);(-79.2, 225.0, -111.8);(-90.2, 218.1, -82.3);(-90.3, 219.6, -78.1);(-90.2, 222.4, -82.3);(-94.9, 227.3, -93.2);(-88.2, 190.9, -135.1);(-88.4, 192.5, -132.8);(-88.2, 194.8, -135.1);(-92.4, 199.2, -146.0);Round Planet Model
